MU?,NAME,CUISINE,BUDGET,NIEGHBORHOOD,DETAILS/NOTES,SOURCE 1,SOURCE 2,SOURCE 3,SOURCE 4,SOURCE 5,SOURCE 6,SOURCE 7
FALSE,A5 Steakhouse,"Steakhouse, Happy Hour",$$$,U. Station,"What separates this steakhouse from the pack is a sense of playfulness that speaks to the moment. Against a backdrop that defies genre stereotypes in lively shades of green, the kitchen likewise upends expectations through the diversity of its influences — deftly supplementing those exquisite cuts of beef with, say, Mexican-style bay shrimp cocktail, maitake-porcini poutine, tamarind chutney–glazed rack of lamb with saag curry, and bacon-and-kimchi fried rice. But the real surprise here is happy hour, when the bar is hopping with those in the know chowing down on burgers and French dips at pre-pandemic prices.",Eater: Best Restaurants ,Eater: Best HH,,,,,
TRUE,African Grill and Bar,African,$,Lakewood,"Walk in a first-timer, walk out a family member: That’s what a meal at African Grill and Bar feels like. Owners Theo and Sylvester Osei-Fordwuo emanate warmth while also cooking dishes that showcase the diversity of regional African cuisine. For newcomers, fufu or red red with goat or oxtail are great places to start, cooled by the fresh ginger drink; regulars, meanwhile, tend to work their way through the menu until they’ve tried every last stew and staple starch.",Eater: Best Restaurants ,Eater: 38 best restaurants,,,,,
FALSE,Alma Fonda Fina,"Mexican, Spanish",$$$,Highlands,"Walk in a first-timer, walk out a family member: That’s what a meal at African Grill and Bar feels like. Owners Theo and Sylvester Osei-Fordwuo emanate warmth while also cooking dishes that showcase the diversity of regional African cuisine. For newcomers, fufu or red red with goat or oxtail are great places to start, cooled by the fresh ginger drink; regulars, meanwhile, tend to work their way through the menu until they’ve tried every last stew and staple starch.",5280: Denver's 25 best,Eater: Best Restaurants ,Westword: 100 restaurants we can't live without,James beard award winners,Eater: Best Romantic,one Michelin star,Eater: 38 best restaurants
TRUE,Alteño,Mexican,$$$,Cherry Creek,"How does Johnny Curiel do it? Marking his fourth opening in just over a year, this Cherry Creek hot spot is every bit as fabulous as its siblings Alma Fonda Fina, Cozobi Fonda Fina, and Mezcaleria Alma, though it’s got a personality all its own. In the low-lit, handsome den-like space, the kitchen turns out dish after dish of refined Mexican fare, including kanpachi crudo tostadas with uni and avocado, queso fundido reimagined with wild mushrooms al ajillo and pasilla salsa, and slow-cooked lamb shank with guacachile and garbanzo consommé alongside handmade tortillas. And the beverage program’s equally suave: While stylish cocktails such as the Old Fashioned with pepita-washed tequila, cardamom, and mole bitters go without saying, a larger-than-expected list of wines by the bottle ups the ante for date night.",3 new Michelins,Eater,Wesword: Best HH,,,,
FALSE,Annette,"Foodie fusion, American",$$$,Aurora,"Chef Caroline Glover hasn’t let stardom go to her head: After all, her renown — cemented by a 2022 James Beard Award for best chef, Mountain region — is predicated on the down-to-earth, heartfelt approach to both cooking and hospitality she takes at Annette, located in Aurora’s Stanley Marketplace. Guests feel well cared for as they tuck into signatures like grilled beef tongue and marrow toast or roast chicken with bitter greens and PX sherry vinegar alongside seasonal dishes such as ricotta cavatelli with celeriac, preserved lemon, hazelnuts, and fried capers; milk-braised lamb shoulder with grits, charred ramps, and chimichurri; and ice cream sandwiches in ever-changing flavors (think snickerdoodle and orange). Knockout cocktails and a boutique wine list enhance the feel-good experience.",Eater: Best Restaurants ,Eater: Best Romantic,Eater: 38 best restaurants,,,,
TRUE,Ash'Kara,"Mediterranean, Israeil",$$$,Highlands,"This Israeli restaurant in Denver’s Highland neighborhood gets its name from Hebrew street slang meaning “right on” or “totally.” Anchored with a mezze-leading menu, Ash’Kara serves up contemporary Israeli — or “unorthodox,” its own winking description — cuisine with influences from Mediterranean, North African, and other Middle Eastern countries. Find dishes like whipped labneh laced with blistered snap peas, strawberry, and lemon Agrumato olive oil, and tagines that span zucchini and squash, chicken, and lamb rib varieties. A three-course “feast” is offered for $45.",Michelin recommends,,,,,,
FALSE,Baekga,Korean,$$$,Lowry Field,"BaekGa is the kind of restaurant that makes Korean natives feel at home. One bite of its rich sundubu (spicy soft tofu stew) proves that point. Its LA Galbi, a sliced three-bone Angus short rib, is a true indulgence that’s tender, smoky and packed with deep, savory-sweet flavor. While the menu is on the pricier side, all main plates are meant for two and come with an overflowing spread of banchan, steamed rice and fresh, crisp lettuce for ssam (wraps); we’ve never had to request a banchan refill here. And the kimbap? It’s as big as your forearm.",5280: Denver's 25 best,Westword: Best of,,,,,
FALSE,Bar Dough,"Italian, Happy Hour",$$,LoHi,"The Culinary Creative Group is a powerhouse on the Denver dining scene – it’s behind such heavy-hitters as A5 Steakhouse, Señor Bear, Kumoya and more. At Bar Dough, its Italian spot in LoHi, chef Russell Stippich and his team excel at consistently delicious and creative fare, from pizza and pasta to small plates that highlight seasonal ingredients. While we love it for dinner, it also offers an excellent happy hour with specials on spritzes and bites like arancini, and you can start your day with carbonara and pizza topped with hollandaise during its weekend brunch.",Westword: Denver's best italian,Eater: Best italian,Eater: Best Pizza,,,,
FALSE,Barolo Grill,Italian,$$$$,Cherry Creek,"You might find crunchy, beaded tapioca crackers alongside classic tartare or pearls of balsamico and basil gelée in the caprese appetizer, but these modernist touches are offset by old-world Italian ingredients like eight-year-aged Acquerello carnaroli rice—plump as beans—in risotto and rare Castelmagno cheese in a blissful cheesecake for dessert.",3 new Michelins,Best in Denver 2025,Eater: Best Romantic,Eater: 38 best restaurants,,,
TRUE,BearLeek,"Experimental, Foodie fusion",$$$,RiNo,"The Trendy Spot With Culinary Chops. Opened in July at 2611 Walnut Street (in the former RiNo home of Osaka Ramen). Owned by Harrison Porter and Rema Maaliki, first-time restaurateurs who met while working at Mercantile in Union Station. What does the name mean? It’s a nod to the English translation of the German word for “ramp,” and there are plenty of bear touches throughout.",3 New Bites,Infatuation,Best new in 2025,,,,
FALSE,Beckon,Foodie fusion,$$$$,RiNo,"Chef Duncan Holmes’ 18-seat restaurant Beckon serves guests a contemporary, multi-course tasting menu ($215 per person) that changes with the seasons. Known for its vivacious energy, Beckon’s menu is hardly predictable: Courses run the gamut from seared pork belly served with rutabaga and apple, snapper with turnip and shiso, and chocolate honeycomb with pomegranate pate de fruit and brown butter shortbread. Check the website for the latest menu. (1 star)",one Michelin star,Eater: 38 best restaurants,,,,,
FALSE,Blackbelly Market,American,$,Berkley,"""Budget Friendly""",Westword: 100 restaurants we can't live without,,,,,,
FALSE,Blackbelly Market,American,$$$,Boulder,"Farmhouse-chic eatery & butcher shop for charcuterie, burgers, steaks & hand-cut Kennebec fries.",3 new Michelins,,,,,,
FALSE,Boombots Pasta Shop,"Italian, Foodie fusion",$$$,5 points,"...Despite its pasta focus, this isn’t an Italian joint. Instead, it takes inspiration from all over for a menu that’s a pleasure to explore. Start with the best charcuterie board in the city and an order of Big Ass Mozz Stix before moving on to options like the dirty martini bucatini (which you can pair with a pasta water martini), samosa agnolotti, or smoked duck and green chile lumache. Boom!",Best new in 2025,,,,,,
FALSE,Boychick,Mediterranean,$$-$,Aurora,"With the breezy vibe of a modern beach house, this Stanley Marketplace newcomer feels as close to the shores of the Mediterranean as Aurora, Colorado, ever could — and the appealingly simple, simply appealing menu matches the atmosphere. Start with a spread like muhammara or golden-beet toum to accompany pita; move on to chicken shawarma or falafel, whether piled atop hummus or stuffed into a sandwich, alongside the Tel Aviv Caesar with pistachio dukkah and za’atar; and take the opportunity to peruse the small but super-cool wine list — it’s full of affordable surprises.",Eater: HOT new ,,,,,,
FALSE,Broadway 10 Bar & Chophouse,Steakhouse,$$$,Cherry Creek,"...sleek interior, attentive service, expansive menu…and that bacon. Start your meal with the bacon flight, and you’ll be in hog heaven here.",Best new in 2025,,,,,,
FALSE,Bruto,"Foodie fusion, Mexican, Pan Latin",$$$$,U. Station,"As at sibling The Wolf’s Tailor (which also makes frequent appearances on this map), much of what drives the intricate, stunningly presented tasting menu at this intimate chef’s counter inside the Free Market in LoDo is a commitment to sustainability that manifests in everything from a meticulous approach to sourcing local and heritage ingredients to a low-waste program relying in large part on fermentation projects of all kinds. But Costa Rica-born chef/partner Byron Gomez’s global outlook and a wood-fired oven are also major sources of inspiration. Beyond that, no spoilers: Just come with an open mind, opt for the beverage pairings, and prepare for a fully multi-sensory experience.",Eater: Best Restaurants ,one Michelin star,,,,,
FALSE,Carmine’s Italian Restaurant,Italian,$$$,Wash Park,"The original Carmine’s on Penn has held down its corner of Pennsylvania and Bayaud since 1994. When the restaurant opened, it was intended as a place where large groups could converge and enjoy themselves without thinking too much about what they were eating – ordering big platters of Italian food served family style, which is still the approach today under owner Brad Ritter, who purchased the restaurant in 2006. (Now, though, you can also opt for servings meant for two.) 

In the summer of 2021, its lighter, brighter sister restaurant, Carmine’s at McGregor Square, debuted near Coors Field, where it delivers the same crowd-pleasing fare to tables covered with brown paper and adorned with a cup of crayons so that kids and adults alike can color through the courses.",Westword: Denver's best italian,,,,,,
TRUE,Carne,Steakhouse,$$$,RiNo,"As prolific as she is beloved, chef Dana “Loca” Rodriguez strikes again with this RiNo steakhouse for the cool kids. The groovy retro-mod atmosphere is nearly as big a draw as the globally influenced menu — but not quite, as it’s hard to outshine such bangers as grilled achiote-rubbed octopus with cannellini bean salad and olive tapenade, an Argentinian-style duo of tri-tip and chorizo with red chimichurri, and confit duck legs in orange glaze. Tableside martini service and a buzzing mezzanine-level lounge up the glam factor that much more.",Eater: HOT new ,5280: Denver's 25 best,Eater: 38 best restaurants,,,,
FALSE,Chopstix Fusion,Chinese,$,SE,"The “chef’s special” section of the menu at this wee sleeper hit on the Aurora border offers more than enough to satiate a Chinese chowhound in one sitting: Hong Kong–style classics like beef chow fun with XO sauce, stir-fried flowering cabbage with garlic, clams in black bean sauce, and fried rice with dried scallop and egg white show the kitchen’s deft and delicate touch. That said, some of its greatest hits are off-menu: Ask for the crunchy, silky salt-and-pepper tofu, call ahead to order crab and lobster, and don’t overlook the pastry case, where crepe cakes in flavors like durian and chestnut await.",Westword: 100 restaurants we can't live without,Eater: Best chinese,,,,,
FALSE,Cimera,Pan Latin,$$$,RiNo,"We’ve long loved the rooftop views on the top floor of the Source Hotel, but with the October opening of Cimera in the space that was formerly the Woods, the food, drinks and decor are now as much of a draw as the downtown vistas. Former Hop Alley executive chef Geoff Cox is leading the team at this pan-Latin spot, along with consulting Peruvian chef Diego Muñoz. Brightly colored murals bring a vibrancy to the space, while bites like the tuna tiradito, papa rellena and pork belly skewers are early standouts.",Best new in 2025,,,,,,
FALSE,Colorado Sake Co. Tasting Room,Japanese,$$,RiNo,"American-style sake brewery, tasting flights, Japanese small plates, behind-the-scenes production tour",,,,,,,
TRUE,Coperta,"Italian, Brunch",$$$,Capitol Hill,"In 2016, Paul and Aileen Reilly, the brother-and-sister team behind beloved Uptown eatery Beast + Bottle, opened the Roma-inspired Coperta in North Capitol Hill. Since then, Beast + Bottle has said goodbye, but Coperta has remained a neighborhood mainstay through it all. The dining room feels both classy and comfortable, with warm service that makes every guest feel like a regular while they’re digging into housemade focaccia, classic pastas like cavatelli ragu and rigatoni carbonara, and such Coperta staples as the Pollo Alla Diavola, a half-chicken with a side of heat thanks to the addition of Calabrian chiles. In late 2023, Coperta also added a weekend brunch, and be sure to look out for its special Little Italy nights when it pays homage to red sauce classics like chicken piccata and fried mozzarella.",Westword: Denver's best italian,,,,,,
FALSE,Corsica Wine Bar,"Mediterranean, Happy Hour",$$$,RiNo,"While it has rustic good looks and a high-energy crowd in common with Barcelona Wine Bar, its Spanish sibling a few blocks away, this RiNo arrival distinguishes itself with a Mediterranean-inspired menu and beverage program all its own. Smart small plates like chicken liver mousse with pear mostarda and crostini, baked lumache in spicy crab sauce with preserved lemon, and the must-try collard leaf–wrapped cornbread with honey and chiles pair perfectly with equally snazzy cocktails, including the Le Rigmarole with vodka, Suze, honeydew, milk powder, and fennel pollen — but don’t overlook the wine list: It’s a treasure trove of lesser-known finds from the region such as Ligurian Lumassina and Irouléguy Rouge, the majority of them organically and/or biodynamically farmed.",Eater: HOT new ,Eater: Best HH,,,,,
FALSE,Cucina Bella,"Italian, Brunch, Happy Hour",$$,Aurora,"This eatery debuted in November 2022 in a strip mall on East Alameda Avenue, just west of South Havana Street. That location could make it easy to overlook Cucina Bella, but don’t: The owners of the restaurant have some serious culinary skills. Brothers Luis and Heriberto Gutierrez are originally from Durango, Mexico, but have been cooking in Denver for over two decades. At their first venture as owners, the fine-dining-style take on the food belies the plain exterior, and the kitchen’s commitment to quality comes through with every bite. Start with a generous pile of crispy calamari with Calabrian chile aioli before digging into pizza, pasta and larger entrees like veal saltimbocca. Cucina Bella also offers weekend brunch with nods to the owners’ Mexican heritage, as well as a happy hour with specials on bites and booze.",Westword: Denver's best italian,,,,,,
FALSE,Dân Dã,Vietnamese,$$,E Colfax,"The much-missed Savory Vietnam has happily been reincarnated as this instant sensation on East Colfax, whose snug dining room bustles at all hours with families and friends digging into DIY spring roll platters and clay pots featuring catfish or pork belly and bamboo shoots. As favorites go, front-runners include ốc len xào dừa (periwinkles in lemongrass-coconut sauce); áp chảo xào thập cẩm (rice cakes with beef, chicken, and shrimp in oyster sauce); deep-fried whole sea bass in ginger sauce; and the tequila-based Salty Pickled Lime Spritzer to wash it all down.",Eater: HOT new ,5280: Denver's 25 best,Westword: 100 restaurants we can't live without,Eater: 38 best restaurants,,,
FALSE,Denver Botanic Gardens Evenings al Fresco,,$$,Capitol Hill,"Illuminated garden paths, live music performances, botanical cocktails, night photography workshops",,,,,,,
FALSE,Dough Counter,Pizza,$,University Hills,"“Feed Your Face,” reads the sign on the back wall of this University Hills counter joint from the owners of Marco’s Coal Fired (see above), and that’s an order: One slice of its airy-on-the-inside, crunchy-on-the-outside Sicilian-style pan pies — be it the Big Mac with ground beef, cheddar, onion, shredded lettuce, and secret sauce or the Triple Threat with marinara, vodka sauce, and pesto — is a meal in itself. On the “lighter” side are New York–style pies like the Loaded Baked Potato with bacon, cheddar, jalapeño crema, scallions, and — get this — French fries.",5280: Denver's 25 best,Eater: Best Pizza,,,,,
TRUE,Fisn N Beer,"Seafood, Happy Hour",$$$,RiNo,"Though it’s as close as the Mile High City gets to a good old Cape Cod oyster shack in terms of vibe, the culinary influences on the menu at this tight squeeze of a seafood joint in RiNo extend far beyond the Eastern Seaboard — from Lake Superior smelt fries with tartar sauce and Louisiana Bay rock shrimp to snapper ceviche and Italian-inspired steamed mussels with Calabrian chiles. Come dessert, believe them when they say the key lime pie is the best in town.",Eater: Best Restaurants ,Wesword: Best HH,,,,,
FALSE,Fortune Nong Jia Le,Chinese,$$,Wash Park,"One of Denver’s best Chinese restaurants, casual Cherry Creek fixture Fortune Wok to Table, now has a semi-upscale sibling in Wash Park West — which is good news for fans of its marvelous dumplings, noodles, and fried rice plates and even better news for folks who like to mix things up a little, since the menu here is a bit more diverse and seasonal. Dishes like clay pot beef and broccoli, Dover sole in garlic sauce, and seafood potage with tofu may be simple on paper, but they’re complex on the palate, and a small wine list is ably built to complement them.",Eater,,,,,,
FALSE,Fox and the Hen,Brunch,,Highlands,"Chef Carrie Baird loves breakfast, and now she has a spot where she can have fun with it. From the hot sauce wall to the collection of framed prairie dog art outside the bathrooms, quirky touches abound, but the food from this Top Chef alum shines on its own, too. Standouts include the Fancy Toasts section – Baird is known for topping slices of bread with a riot of flavorful ingredients – as well as a dish called Bobby Flavos, a huevos rancheros dish that commemorates her win over the smug chef’s win on his own TV show; an omelet inspired by a certain episode of The Bear; and animal-style hash browns.",Best Brunch,,,,,,
FALSE,Frasca Food & Wine,"Foodie fusion, Italian",$$$$,Boulder,"This foundational, James Beard Award-winning Boulder restaurant is known for its regional specificity (concentrating on somewhat lesser-known Friulian cuisine from northeastern Italy) and distinctly Coloradan approach. Four-plate prix fixe and fuller tasting menu options range from $150 to $215, with options for wine pairings, beer, classic aperitivi spirits, and irreverent drinks from its cocktail menu. While the dining menus rotate, visitors and regulars can expect hyper-creative, seasonal pasta dishes, grilled fish, and generous cuts of meat. (1 star)",one Michelin star,,,,,,
FALSE,Gusto,Italian,,Sloan's Lake,"The high-ceilinged setting may be urbane, but the food at Lon Symensma’s Italian outpost in Sloan’s Lake is almost homey at heart: The menu’s chock-full of crowd-pleasers like mozzarella di bufala with golden raisin caponata and crispy capers, pappardelle with wild boar and olives, eggplant parmigiana in “Sunday sauce,” and limoncello–olive oil cake. Equally appealing are a well-priced all-Italian wine list and a cocktail program that carries the theme through ingredients like agrumato and mascarpone.",Eater: HOT new ,Westword: 100 restaurants we can't live without,,,,,
FALSE,Hey Kiddo,"Korean, Fried Chicken",,Berkley,"Eclecticism is the name of the game for the id est hospitality group (see also Brutø below), and this red-hot Berkeley spot plays it with panache. Come for caviar service and pét-nat bubbles; stay for Korean-inspired fried chicken and cocktails laced with everything from aquavit to singani; stay longer for the shaken chef rice and a nightcap at adjoining bar OK Yeah — and don’t detract from the experience for a second by worrying about how to define it.",Eater: Best Restaurants ,Eater: 38 best restaurants,,,,,
TRUE,Hop Alley,Chinese,,RiNo,"Tommy Lee’s enduring RiNo favorite puts an exuberant modern spin on regional Chinese staples in an equally high-energy dining room. While all first-timers (if there are any left) should try the shrimp toast, Beijing duck roll, and bone marrow–fried rice, abundant seasonal and daily specials keep regulars coming back — whether for wok-fried catfish in oyster sauce and chili oil, black bean clams with charred scallion salsa verde, or foie gras–topped kaya toast at the reservation-only chef’s counter. The bar team is more than up to the pairing challenge the menu presents, known as they are for cocktails infused with Asian ingredients as well as a geeky selection of wines and ciders.",Eater: Best Restaurants ,5280: Denver's 25 best,Michelin recommends ,Eater: 38 best restaurants,,,
FALSE,il posto,Italian,,LoDo,"Chef Andrea Frizzi’s new RiNo Italian restaurant is beautiful and inviting, with a menu proven at his original, 9-year-running location. If you haven’t been in a while, now’s the time. And make sure to sit at least once at the chef’s counter.",Eater: Best italian,,,,,,
FALSE,Izakaya Den,Sushi,,,"Izakaya Den is Sushi Den’s sleek little sister, right next door on Old South Pearl Street. Izakaya Den is winner of the American Architecture Award for its refined design with an homage to its Japanese roots. Serving global cuisine and the same freshly sourced sushi as her big sister, Izakaya Den provides a memorable dining experience.",Eater: Best sushi,,,,,,
FALSE,Jacques,French,,LoHi,"""New + Noteworthy"" In September 2023, Brasserie Brixton co-founder chef Nick Dalton and friends William Steck and Simon Rochez debuted their take on a neighborhood French bistro in LoHi. The space is decked out with luxurious deep-green booths, marble-topped tables and plenty of gold accents. While Jacques feels upscale enough for a special occasion, any reason is a good one to settle into a cozy booth for favorites like mussels, duck confit, French onion soup, and maybe even a caviar bump or two.",Westword: 100 restaurants we can't live without,,,,,,
TRUE,Jovavina's Broken Italian,Italian,$$$,LoDo,"Vintage accents and candles on every table lend this LoDo hot spot half its considerable charm; the food does the rest. Like the wallpaper gracing one side of the dining room (take a close look), almost every dish takes an unexpected and delightful turn, be it bolognese made with elk and rosemary mascarpone, radishes poached in ’nduja butter and served with a garnish of pickled beech mushrooms and grilled sourdough, or cannoli filled with Earl Grey–infused ricotta — and the cocktails follow suit: Take, for example, the Friend of the Devil with mezcal, pisco, Ruby Port, Cynar, and mint grenadine.",Eater: Best Pizza,Eater: Best Romantic,,,,,
TRUE,Kawa Ni,"Japanese, Happy Hour",,Highlands,"Call it the “it” factor. With a rustic vibe and a come-as-you-are attitude, this modern izakaya has quickly become a home away from home for LoHi’s party people, who kick things off with cocktails like the Big Fat Old Fashioned featuring smoked bone marrow–washed bourbon before digging into a menu that’s full of adventurous twists and turns — from shaved broccoli miso goma with ham and burnt honey to pickled tofu bao with kimchi green tomatoes to congee with pork belly and collard greens. Sake bombs cap it all off with a bang.",Eater: Best Restaurants ,Eater: Best HH,Eater: 38 best restaurants,,,,
FALSE,Kike's Red Tacos,Mexican,$,LoHi,"Rich, heady with spices, and alternatively crisp, soft, and dripping with juice in all the right places, the birria tacos that captured the zeitgeist when Kiké’s launched as a food truck in 2020 are now on glorious display at its fast-casual brick-and-mortar in Sunnyside. The expanded menu includes quesadillas, tortas, burritos, and more — including must-try birria ramen — backed by an agave-centric cocktail list ranging from prickly pear–guava margaritas to spiked horchata.",5280: Denver's 25 best,Eater: 38 best restaurants,,,,,
FALSE,Kizaki,Sushi,$$$,Platt Park,"After more than 40 years as the creative force behind Sushi Den and its siblings on Old South Pearl, Toshi Kizaki is just getting started at this omakase spot. Beautifully serene decor sets the tone for a meal that flows oh-so-smoothly from one course to the next — about 20 in all — while incorporating not only sterling edomae-style sushi but cooked dishes such as chawanmushi with snow crab and smoked, grilled tuna collar into the mix. The fact that the sake and wine pairings are as thoughtful as the food should come as no surprise.",Eater,one Michelin star,Eater: 38 best restaurants,,,,
TRUE,Kumoya,Sushi,$$$$,LoHi,"It might seem like the gold-flecked, caviar-topped toro tartare (and other similarly extravagant dishes) are the main draw at Kumoya. But really, we find that we can’t stop thinking about the not-as-flashy plate of miso eggplant that’s broiled, topped with little puffed rice spheres, and tastes just as decadent as that gold toro. Pull up a stool at the sushi counter to watch the slicing and dicing, and be sure to come back later to spend some time at the attached Bar Kumo. The late-night menu of udon noodles and katsu curry bowl, not to mention cocktails with mushroom rum, shoyu, and sesame, are worth checking out.",,Eater: Best Romantic,,,,,
FALSE,La chiva,Colombian,$$,Platt Park,"This brick-and-mortar, spawned from the popular food truck of the same name, gives Denverites a cozy, colorful place to enjoy the cuisine of chef-owner Jorge Aguirre’s native Colombia. Try the sancocho, a hearty, slow-simmered soup made with chicken, green plantain, yuca, corn, and Colombian spices.",,,,,,,
TRUE,"La Diabla Pozole y Mezcal
","Mexican, Happy Hour",$$,LoDo,"As Denver’s first restaurant dedicated to pozole, La Diabla Pozole y Mezcal serves up the dish in its traditional rojo form as well as less-common takes on the staple broth: diners can find verde, blanco, negro, and vegan varieties. Aside from its namesake soup, pozole fans have access to other rich fare such as duck confit in mole negro and fish sizzled on a trompo and stuffed in a taco. Sample a mezcal flight while you’re at it.",Michelin recommends,Eater: Best HH,,,,,
TRUE,La Forêt,French,$$$,S Broadway,"Good news: The fairy-tale decor of Beatrice & Woodsley, designed to resemble an aspen grove in the mountains, has largely been left intact by the owners of the late great restaurant’s rustic French successor in the Baker neighborhood. Even better news: The fare lives up to the setting. Expressing commensurate whimsy are dishes like fried frog’s legs with sea beans and rosemary aioli, escargot au Champagne in veal demi-glace and hazelnut-Chartreuse butter, and wild boar ribs in blackberry-sage glaze — while cocktails such as the Duke of Mirepoix with gin, celery cordial, lime acid, and whey really tie the room together.",Eater: HOT new ,5280: Denver's 25 best,Eater: Best Romantic,,,,
