MU?,NAME,CUISINE,BUDGET,NIEGHBORHOOD,DETAILS/NOTES,SOURCE 1,SOURCE 2,SOURCE 3,SOURCE 4,SOURCE 5,SOURCE 6,SOURCE 7
FALSE,Little Arthur's,"Italian, Pizza",$$,Capitol Hill,"Anyone who thinks sandwiches and pizza can’t hit the heights of culinary ingenuity hasn’t heard of AJ Shreffler — which places them in a small minority among dedicated Denver diners. Meticulously sourced ingredients, the skills to match them, and generous portions ensure his cheesesteaks and pies live up to the hype while more than justifying their prices (around $20 and upwards of $30, respectively); snacks and specials like mozzarella sticks, loaded fries, and clams casino also make for a meal worthy of a white-cloth restaurant, though the sunny little beer bar Little Arthur’s is operating out of suits it just fine too.",Westword: 100 restaurants we can't live without,Eater: 38 best restaurants,Eater: Best Pizza,,,,
FALSE,Luchador Taco & More,Mexican,$$,Whittier,"Yes, this moody, mural-splashed Mexican hideaway in the Whittier neighborhood does serve tacos — and they’re delicious, including the octopus al pastor and the ribeye with grilled cactus. But by all means explore the “more” to which the name alludes, like the pescadilla, akin to a mahi mahi-stuffed empanada; the roasted wild mushrooms over polenta with goat cheese, salsa macha, and pipián verde; or the 24-hour beef cheeks in pasilla negro adobo with black beans, sesame seeds, pumpkin seeds, and handmade tortillas. Across the menu, chef-owner Zuri Resendiz achieves the depth and breadth of flavor that prove he’s more than a pretty face on the Food Network (though he’s frequently been that too).",Westword: 100 restaurants we can't live without,Eater: 38 best restaurants,,,,,
TRUE,Lucina Eatery,Pan Latin,$$$,Park Hill,"It’s a nightly fiesta in here, thanks not least to a pan-Latin menu that’s tailor-made for sharing with friends, including dishes like the Brazilian fish stew moqueca de peixe; Mexican tlacoyos with cochinita pibil, habanero onions, salsa macha, and garlic crema; Puerto Rican mofongo with pork belly chicharron and herb salad; and an ever-changing, weekends-only paella. But the vibe also points to the colorful, come-one-come-all culture cultivated by partners Erasmo Casiano, Diego Coconati, and Michelle Nguyen, whose bar plays its part in the party too as it whips up kicky cocktails like the La Guadaña with mezcal, corn liqueur, Yellow Chartreuse, almond, and charred lime.",Eater: Best Restaurants ,5280: Denver's 25 best,Eater: 38 best restaurants,,,,
TRUE,Magna Kainan,"Happy Hour, Phillipino",$$$,RiNo,"Tamarind. Calamansi. Ube. Green papaya. The flavors of the Philippines abound at this colorful RiNo newcomer — and happy hour (4 p.m. to 6 p.m. daily) affords the opportunity to explore them on the cheap. From yuzu highballs and shots of Filipino rum to lamb empanadas and pork belly musubi, almost nothing cracks the $10 mark, which is all the more reason that everything will crack a smile.",Eater: Best HH,,,,,,
FALSE,major tom,Small Plates,$$$$,RiNo,"While its adjacent sibling, prix fixe chef’s counter Beckon, regularly appears here, this jewelbox of a lounge in RiNo warrants inclusion in its own right thanks to a stellar Champagne selection; a small but superb seasonal roster of small plates like venison tartare with potato chips, mushroom tartine with English peas and tofu cream, and parsnip-walnut cake with cream cheese frosting; and service that’s crisp and kindly by turns. Dress up a bit, live a little, and come back a lot.",Eater: Best Restaurants ,5280: Denver's 25 best,Eater: Best Romantic,,,,
TRUE,MAKfam,"Chinese, Happy Hour",$$,Baker,"This 2024 Denver Bib Gourmand entrant, which began as a scrappy pop-up in New York, delivers playful takes on Chinese American fare at an approachable price. Find smaller plates like lip-numbing málà wings; chicken and chive dumplings; and a flaky, golden-fried scallion pancake. Larger-format dishes to share include corned beef fried rice; Hong Kong-style wok-fried tomato, scrambled eggs, and beef on rice; and tofu sizzling spicy noodles with chile oil, málà spice, and cabbage. Everything is well-labeled for allergens, and the drinks are just as irreverent; happy hour runs daily from 2 p.m. to 5 p.m.",5280: Denver's 25 best,Westword: 100 restaurants we can't live without,Michelin recommends,Eater: 38 best restaurants,,,
FALSE,Malinche Audio Bar,Mexican,$$$,Platt Park,"It’s part mezcal bar, where the spirit is poured from glass vessels traditionally used to age the spirit that hang above the bar, and a vibrant statue of Mayahuel, the goddess of mezcal, oversees the action. It’s also part audio bar in the spirit of Japanese kissas, but starring Alvia’s personal collection of vintage Mexican records. And the “nikkei” menu is a mashup of traditional Mexican flavors combined with Japanese influence. don’t miss the tamalito de conejo with rabbit braised in black miso and pasilla mix, or the nicuatole, a dessert of nixtamal custard unexpectedly topped with salmon roe.",Best new in 2025,,,,,,
FALSE,Margot,American,$$$,LoHi,"Chef Justin Fulton cooks up an on-point contemporary American menu, and while the dishes may not be as out-of-the-box as at similar restaurants, you’ll get fantastic takes on standards like beef tartare, dry-aged duck, and gnocchi with a Parmesan broth. Bonus: Oenophiles will appreciate the thoughtful wine pairings. https://www.margotdenver.com/",Denver Tasting Menus,one Michelin star,,,,,
FALSE,Marigold,European,$$$,Lyons,"Since opening Marigold in Lyons in 2022, chef Theo Adley has made an outsize impact on the small town. He earned a James Beard Foundation Award semifinalist nomination for Best Chef: Mountain in January, putting the Front Range enclave on the culinary map for his fine yet humble dinner fare, which draws widely from European gastronomy. Adley’s unorthodox flavor combinations (think: sea urchin, polenta, corn, black sesame, and Basque peppers) are likely what’s earning him such national recognition, but customers can take comfort in more approachable plates. Dishes such as half chicken under a brick and ragu-coated rigatoni cement Marigold as a neighborhood bistro worthy of regular visits. But Adley never fails to add a special touch: The chicken is paired with spigarello, an heirloom Italian green; the ragu has a hint of mint. That’s what elevates the restaurant to a higher culinary plane—and what makes the trip up U.S. 36 truly worth it.",5280: Denver's 25 best,,,,,,
FALSE,Mezcaleria Alma,Mexican,$$,LoHi,"Behind the bar at Mezcaleria Alma, there's a glowing dry-ager filled with hunks of bright red tuna. It's right next to a towering wall of mezcal that looks like an alcoholic 19th-century baron replaced his home library with booze. Remember that tuna. There may one day be statues erected to that tuna. Because while everything at Mezcaleria Alma is exceptional, the tuna tostada is otherworldly. Thin slices sit atop a marsh of guacamole and habanero mayonnaise and are then doused with an amount of chives that could only be described as Chia Pet-esque.",One star michelin,,,,,,
FALSE,Molotov Kitschen + Cocktails,Russian,$$$,Colfax,"The words “Eastern European food” and “sexy” rarely appear in the same sentence, but this snug East Colfax charmer may change that. Even the humblest and heartiest of ingredients — cabbage and carrots, bulgur and buckwheat — get the gourmet treatment from endlessly creative chef-owner Bo Porytko and his team, who transform them into refined dishes like young potato borscht with pistachio-potato relish, egg yolk jam, crispy leeks, and sauerkraut powder or kielbasa-stuffed, buttermilk-fried quail with smoked beet-radish slaw, all of which pair perfectly with horilka-based cocktails and wines from, say, Slovenia and Serbia. Book seats at their counter for the ultimate intimate experience.",Eater: Best Restaurants ,5280: Denver's 25 best,Eater: Best Romantic,Eater: 38 best restaurants,,,
TRUE,Mr Oso,"Brunch, Pan Latin",$$$,Highlands,"Mister Oso is a Latin American restaurant specializing in tacos with a twist — everything is served family style. Diners can find tacos, like the coconut-braised mojo pork and lamb cheek barbacoa, with a selection from the expansive cocktail menu encompassing mezcal palomas, and sangria by the carafe.",Michelin recommends,,,,,,
TRUE,Noisette Restaurant & Bakery,"French, Brunch",$$$,Highlands,"At once chic and slyly quaint, the dining room of Tim and Lillian Lu’s LoHi sensation sets the tone for a seasonal French menu that’s likewise sophisticated and soothing by turns — from veal sweetbreads in puff pastry with English peas, onion soubise, and Madeira cream to vadouvan-spiced confit duck leg with lentils, favas, and bacon to Dover sole meunière for two. Dessert is de rigueur, as are croissants and cannelés from the adjoining daytime bakery.",Eater: Best Restaurants ,5280: Denver's 25 best,,,,,
FALSE,Nozomi ,"Sushi, Happy Hour",,Sunnyside,"""Affordable high quality"". Nozomi in Sunnyside, which opened in early 2023, has a bar stocked with beautiful seafood and a menu with lots of options—including nigiri, sashimi, rolls, and temaki (hand roll) preparations that are harder to find in Denver. That encourages patrons to try fresh flavor combinations, such as seared scallop with decadent tobiko butter and citrusy yuzu kosho or ponzu-glazed seared yellowtail with chives, under the care of a friendly staff in a laid-back environment. Mosey in with the regulars during happy hour (Monday–Thursday, 4:30 to 6:30 p.m.; Friday–Saturday, 12 to 3 p.m.) for bomb deals such as $6 drinks and appetizers and three temaki for $12. 4100 Tejon St.",Denver's best sushi,,,,,,
FALSE,O Lien Kitchen,Vietnamese,,Westwood,"""New + Noteworthy"". This Vietnamese spot got its start inside the Viet Hoa supermarket before moving to a brick-and-mortar space in late 2023. While it has standards like pho and rice and noodle bowls, O Lien is also dishing specialties from Huế, including bánh khoái, a fried crepe made of rice flour that has a yellow hue from turmeric. It comes stuffed with pork, shrimp, egg, bean sprouts and veggies, and is an ideal starter before the main event: a large, piping-hot bowl of bún bò Huế.",Westword: 100 restaurants we can't live without,,,,,,
FALSE,Odie B’s,"American, Happy Hour, Brunch",$,Sunnyside,"Part coffeehouse, part sandwich shop, part day-drinkers’ delight, this Sunnyside smash hit is above all more than the sum of its parts. Bangers like the Boujee (scrambled egg, whipped herbed feta, greens, muhammara, and za’atar on focaccia), the Dirty Denver (green chile–braised short rib, cheese curds, mayo, and salt-and-vinegar crispy onions on a hoagie roll), and the mixed bag of fries make fast regulars of first-timers, who return again and again to hang out on the patio over, tequila-spiked Gatorade or green chile-laced bloody marys. Here’s a slice of neighborhood life. (Make that two slices: There’s now a location in RiNo.)",5280: Denver's 25 best,Eater: Best HH,Eater: 38 best restaurants,,,,
FALSE,Ototo,"Japanese, Brunch, Happy Hour",$$$,Platt Park,"Dinner OR brunch! ""With its mix of inventive fare, preparations of fresh seafood (flown in daily for all three eateries), and more laid-back vibe, Ototo has finally found its verve.... Ototo will never be one of the Dens, and that’s fine with us, especially since the restaurant offers something neither of the others does: Sunday brunch. Trust us, the kara age chicken with matcha waffles is worth getting out of bed for.""",5280: Denver's 25 best,Wesword: Best HH,,,,,
TRUE,Pig and Tiger,Taiwanese,$$$,LoDo,"The Taiwanese Eatery With a Lot of Heart. Opened in August at 2200 California Street (in what was once part of its neighbor, Woods Boss Brewing Company). Owned by former Uncle head chef and season eleven Top Chef contender Travis Masar, and Taiwanese American chef Darren Chang.. What does the name mean? It reflects the chefs’ Chinese zodiac signs — Chang was born in the year of the pig; Masar is a tiger.
",3 New Bites,Best new in 2025,,,,,
FALSE,Point Easy,"Foodie fusion, Italian, Spanish, American",$$$,Whittier,"Sophistication meets ease at this date-night magnet in the Whittier neighborhood. Depending on the season, take comfort in the likes of mushrooms on toast with Marsala, cream, and thyme or shepherd’s pie–inspired gnocchi paired with a glass of wine from the smartly curated by-the-glass list; then take a chance on grilled octopus with chorizo-potato pavé and matsutake caramel or swordfish piccata with umami mayo alongside a cocktail featuring raiciilla, mushroom rum, and saffron. There’s no going wrong either way.",Eater: Best Restaurants ,5280: Denver's 25 best,,,,,
FALSE,Restaurant Olivia,Italian,$$$$,Wash Park,"From the kitchen, chef and co-owner Ty Leon’s technically perfect mezzalune, French onion ravioli (pictured), and anolini appear effortless, even if they require hours to get each fold of pasta, each subtle sauce, and each filling of caramelized onion or braised lamb just right. Weekly changes keep the food and cocktail menus fresh, accented by fermented, cured, pickled, and preserved fruits and vegetables. You might taste house-made ginger beer or kombucha in a drink or stone fruit preserves atop pecorino cheesecake for dessert—further evidence of how much thought the team puts into your every moment of bliss.",5280: Denver's 25 best,Eater: Best Romantic,Eater: 38 best restaurants,,,,
FALSE,Rougarou,Southern,$$-$,5 points,"Your Favorite Bartender’s Favorite Restaurant. Opened in August at 2844 Welton Street (in the former Five Points home of Dunbar Kitchen and Tap House and, most recently, Moods, Beats and Potions).. Owned by Mary Allison Wright and McLain Hedges, the duo behind Yacht Club (aka 2024’s best bar in the U.S.), with Wright’s brother, John David, heading up the kitchen. What does the name mean? A rougarou is a mythical cryptid and shapeshifting creature in Cajun culture; it reflects Wright and Hedges’ own ever-evolving Southern story that began in Chattanooga before moving to Denver.",3 New Bites,Best new in 2025,,,,,
TRUE,Safta,Israeil,,RiNo,"The shining star of the Source Hotel in RiNo is a showcase for chef Alon Shaya’s robust brand of modern Israeli cuisine. No meal here would be complete without an order of the wood-fired pita with hummus and an array of salatim, or small plates, such as baba ghanoush and whipped feta with fig vinegar; from there, go for the duck matzo ball soup, the crispy eggplant layered with tomato and herbed goat cheese, and the pomegranate-braised lamb shank — signature dishes all.",Eater: Best Restaurants ,Eater: 38 best restaurants,,,,,
FALSE,Samosa Shop at Honor Farm,,,LoDo,"""New + Noteworthy""",Westword: 100 restaurants we can't live without,,,,,,
FALSE,Sassafrass,"Southern, Brunch",,Berkley,"Though it once had three locations, Sassafras has scaled back, concentrating on its spacious Highland eatery with truly homey vibes (it’s located in two adjoining houses) where its serves Southern brunch from 8 a.m. to 2 p.m. on weekdays and until 2:30 p.m. on Saturday and Sunday. Alongside an array of mimosas and other libations is a selection of nine Bloody Marys, including the extra-large Proud Mary, a full 24 ounces of spiked refreshment. The food offerings include loaded mac and cheese, po’boys and Benedicts, as well as some longtime staples such as bison hash topped with two runny-yolked chicken-fried eggs.",Best Brunch,,,,,,
TRUE,Somebody People,Vegan,,Platt Park,"One of Denver’s only vegan restaurants also happens to be one of its coolest. Done up in fresh hues of turquoise, pink, and lemon yellow, it turns out an array of seasonal dishes that look simple on paper but prove satisfyingly complex on the plate, be it shaved celery with dates, smoked almond, and dill or roasted cauliflower with pistachio pesto, salsa verde, and vadouvan. The same could be said for full- and zero-proof cocktails that feature ingredients from Bolivian brandy to cantaloupe; the wine list, meanwhile, naturally emphasizes small biodynamic and organic producers. Opt for a multi-course tasting Tuesday through Saturday, then come back for the completely different, and surprisingly affordable, five-course Sunday supper.",Eater: Best Restaurants ,Eater: 38 best restaurants,,,,,
TRUE,Spuntino,"Italian, Indian",$$$,Highlands,"Spuntino is a special place. Chef Cindhura Reddy’s cooking is at once polished and deeply soulful, as revealed by her modern Italian menu subtly strewn with Indian influences: elk tartare with toasted masala aioli and ajwain seed crisps here, malai kofta–inspired gnocchi there (and whatever the pasta dish featuring goat may be, get it). Her husband Elliot Strathmann, meanwhile, oversees one of the city’s most exciting beverage programs, painstakingly sourcing uncommon wines from small producers while making his own amari and liqueurs. And the couple’s passion for cuisine extends to their — and their dedicated staff’s — warm and genuine approach to hospitality.",Eater: Best Restaurants ,5280: Denver's 25 best,Eater: Best Romantic,Eater: 38 best restaurants,,,
FALSE,Stowaway Kitchen,"Brunch, Japanese",,RiNo,"Inspired by their adventures abroad, owners Amy Cohen and Hayden Barnie opened this cafe in 2015 and have been serving up some of the most creative brunch fare in town ever since. Unlike the typical heavy, nap-inducing eats that fill most brunch menus, the food at Stowaway skews lighter and draws from global influences, with items like oyako-don, traditional Japanese donburi; an eggplant and halloumi sandwich and the colorful mushroom tartine, available from 8 a.m. to 2 p.m. Thursday through Monday. As befits a cafe, the coffee game is on point here, but so are the cocktails, which include the Duderino, Stowaway’s take on the trendy espresso martini.",Best Brunch,,,,,,
FALSE,Sushi by Scratch,Sushi,$$$$,Larimer Square,"Michelin-Starred Husband-and-Wife Team Bringing Speakeasy Sushi Spot to Larimer Square. Reservations are now open for the intimate, ten-seat omakase-style concept inside the former TAG space.",Best new in 2025,Eater: 38 best restaurants,,,,,
FALSE,TAG Burger Bar,Burgers,$$,Aurora,"After a nearly three-year hiatus, Troy Guard’s all-American joint is back in a bright and shiny new Central Park space, where burgers topped with everything from pork green chile to coconut red curry form the core of a menu that’s ringed round with nostalgic indulgences galore: Think burrata fritters, meatloaf with mushroom gravy and kimchi, and shakes like the TNT with tequila, Tang, and orange soda.",Eater: HOT new ,,,,,,
FALSE,Tavernetta,Italian ,$$$,U. Station,"While Frasca Food and Wine in Boulder (see above) may well be Colorado’s most famous dining destination, its Denver sibling is every bit as notable. Set on the Union Station platform in full view of the trains, the sleek restaurant and lounge takes a broader regional approach to Italian cuisine than its Friuli-focused sibling, proffering a seasonal menu that might find hamachi in acqua pazza with fennel, olives, and Calabrian chilies next to Puglian capunti with braised rabbit, English peas, and smoked ricotta salata next to classic bistecca alla Fiorentina; the splurge-worthy wine list naturally follows suit. And the service, of course, is as polished as the tableware.",Eater: Best Restaurants ,Michelin recommends,Eater: 38 best restaurants,,,,
TRUE,Temaki Den,Sushi,$$$,RiNo,"At the center of the action in RiNo marketplace The Source, this collaboration between the Kizaki brothers of Sushi Den fame and executive chef Kenta Kamo specializes in the eponymous hand roll. Yet the menu’s highlights range widely for its size, proving that Kamo is a talent to watch: They include not only the red shrimp and blue crab temaki but also the lobster, eggplant, and Wagyu nigiri and — to cap it all off — yuzu–black pepper sorbet.",Eater: Best Sushi,,,,,,
TRUE,The Bindery,"Foodie fusion, Brunch, American",$$$,LoHi,"If this LoHi bakery, cafe, and restaurant emanates eclectic energy from sunup to long past sundown, it’s all thanks to chef-owner Linda Hampsten Fox, as inexhaustible as she is imaginative. Influences as diverse as Italy, Israel, and Mexico reflect her globe-spanning career prior to settling here; they’re revealed by day in dishes like quinoa salad with roasted sunchokes, whipped tahini, and pumpkinseed pesto or duck hash with sweet potato, edamame, and squash and by night in seasonal creations ranging from scallop aguachile with strawberries, yuzu, and holy basil kombucha to roast chicken and radicchio flavored with sumac, urfa pepper, black garlic, and Aleppo chilis.",Eater: Best Restaurants ,Best Brunch,Eater: 38 best restaurants,,,,
FALSE,Tikka Grill,Indian,$$,Platt Park,"With a second location on 6th Avenue, this casual South Broadway spot is no frills but all thrills when it comes to Indian cuisine. The extensive menu deftly covers all the usual suspects — biryani, tandoori, tikka masala, saag, vindaloo — along with some less familiar dishes such as rajma-and-aloo (kidney bean and potato) masala and Goan fish curry, as well as a couple of Nepalese staples. Start with a vibrant chaat like the Bombay bhel and be sure to work some lamb into the meal one way or another.",Eater: Best Restaurants ,,,,,,
FALSE,Tofu Story,Korean,$$,Aurora,"The name says a lot: This Aurora Korean joint makes its own tofu, so a bubbling bowl of stew featuring the soft, creamy stuff is a must. But it doesn’t tell the whole story of the menu, which also includes excellent seafood like soy sauce–marinated crab and braised, half-dried pollock with potatoes as well as staples such as spicy tteokbokki (rice cakes) and galbi jjim (short ribs). Wash it all down with soju or beer brewed by sibling Mono Mono in Lafayette.",Eater: Best Restaurants ,,,,,,
FALSE,Traveling Mercies,Seafood,$$$,Aurora,"Oyster and cocktail bar: Chef and restaurant owner Caroline Glover opened her second concept in December 2023, just steps from her first restaurant, Annette. This cozy upstairs lounge that’s hidden from the crowds at Stanley Marketplace is one of the best places to catch a sunset. The menu is concise — just a handful of thoughtful items with a special focus on creative rum-based libations, carefully curated wines and coastal bites like shrimp cocktail, anchovies and East Coast oysters. ",5280: Denver's 25 best,Wesword: 50 best bars,,,,,
FALSE,Uchi,"Sushi, Happy Hour",$$$,5 points,"Denverites lucked out when James Beard awardee Tyson Cole picked RiNo to house the first Uchi outpost beyond his home state of Texas. In a gorgeous, glittering space beneath a rooftop greenhouse, his team turns out immaculate, stunningly intricate Japanese-inspired creations of all kinds — don’t miss the exquisite foie gras nigiri or the luscious kinoko nabe. But raw fish remains the centerpiece of the menu, from the signature yellowtail in chile- and orange-scented ponzu to seasonal and daily specials such as threadfin bream, goldeneye snapper, and bluefin otoro.",Eater: Best sushi,Eater: Best HH,,,,,
FALSE,Ukiyo,Sushi,$$$$,LoDo,"Hidden in a den of serenity below Bao Brewhouse in LoDo, this 12-seat chef’s counter specializes in Japanese-style multicourse tasting experiences that, at any given time, include around 20 dishes designed to honor tradition while reflecting the diverse background of chef Phraseuth Sananikone, be it chawanmushi with ikura or paella with squid ink. Of course, they’re also designed to be paired with sake and/or Japanese whisky, so do plan (and budget) accordingly — rideshare service recommended. (Reservations go without saying.)",Eater: HOT new ,,,,,,
FALSE,Venice Ristorante,Italian,$$,LoDo,"The old-school white tablecloth LoDo spot impresses with its glass enclosed floor-to-ceiling wine room and traditional cuisine. For suburban fans, another outpost of Venice Ristorante operates in Greenwood Village.",Eater: Best italian,,,,,,
FALSE,Wilde,Brunch,$$,Highlands,"In October 2023, chef-owner Lydee Lovett transformed her Highland restaurant Chicken Rebel into the breakfast-and-lunch spot Wilde. The pastel, coastal-inspired haven offers entrees like a crab cake Benedict, the Baja breakfast burrito with carne asada and Captain Crunch stuffed French toast. Forlorn fans mourning the loss of Lovett’s famed Chicken Rebel sandwiches will be thrilled that a Nashville hot version remains on Wilde’s menu.",Best Brunch,,,,,,
FALSE,Wok Spicy,"Sichuan, Chinese",$,Englewood,"If balance is the be-all end-all of good cooking, this warm, welcoming Sichuan-centric arrival on the Englewood scene is in the running for Denver’s best new Chinese restaurant. The interplay of vivid colors; crisp and tender textures; and umami, spicy, and herbaceous flavors distinguishes every last dish, from zesty wok-fried lotus root to oversized cumin lamb buns to green chili pork belly and pickled pepper beef to the singular dry pepper eggplant. A full bar pouring fruity retro cocktails only sweetens the pot (or wok, as the case may be).",Westword: 100 restaurants we can't live without,Eater: Best Chinese,,,,,
FALSE,Wolf's Tailor,Foodie fusion,$$$$,Sunnyside,"The Wolf’s Tailor’s tasting menu revolves around two seasons: the warmer months, when it spotlights fresh produce, and the cooler months when breads and fermentation reign supreme. Diners can enjoy each course paired with wines, cocktails, or zero-proof beverages. With a creative zero-waste ethos (such as recycling bread waste into sourdough gochujang), the Wolf’s Tailor has held a green star for several years and upgraded to Colorado’s only two-star restaurant. (2 star)",two michelin stars,,,,,,
FALSE,Woody's Wings N Things,"Wings, Pan Asian",$$,Westminster,"Though this Westminster sleeper hit does indeed serve wings — get them with lemongrass sauce — it’s the “things” that those in the know really flock here for: Page after page, the enormous menu entices with specialties from Laos, Cambodia, Vietnam, Thailand, and China, including seafood fried lort, chicken nam soot, duck larb, beef loc lac, and more. Gather a good-sized group to try a little bit of everything
",Eater: Best Restaurants ,,,,,,
TRUE,Xiquita Restaurante y Bar,"Mexican, Happy Hour",$$$,Uptown,"From the team behind Park Hill’s much-ballyhooed Lucina Eatery & Bar comes this Uptown homage to the foodways of Mexico City: Officially open on August 2, it’s already received recognition from Bon Appétit for its thoughtful approach to dishes like caldito de chilpachole, a seafood soup with masa dumplings; Cornish hen in mole Oaxaqueño; and sopes topped with barbacoa de lengua, salsa borracha, and queso fresco. The bar follows suit with the likes of tomatillo margaritas and Old Fashioneds featuring Mexican corn whiskey.",Eater: HOT new ,Wesword: Best HH,,,,,
FALSE,Yuan Wonton,"Chinese, Happy Hour",$$,N Park Hill,"The ever-changing menu at this airy, bustling smash success in Park Hill — open for lunch Tuesday–Friday as well as for happy hour Thursday–Friday — isn’t exclusively Chinese, but it is 100% triumphant. While chef/partner Penelope Wong’s technical chops are considerable, her food is imbued with as much heart and soul as it is reflective of her skill: Dumplings of all stripes burst with color and flavor, supplemented at any given time by such supreme comforts as dan dan noodles, congee, and Taiwanese popcorn chicken as well as a small but smart sake selection.",NYT: America's best restaurants,Eater: Best Chinese,James beard award winners,Eater: 38 best restaurants,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,