artist,venue,date,emoji,summary,sounds_like,genre
Jason Isbell,Mission Ballroom,2025-05-01,🪕,Poetic Southern folk-rock from a modern master,"Drive-By Truckers, Chris Stapleton","Folk, Country & Americana"
L.S. Dunes,Oriental Theater,2025-05-01,🦅,Post-hardcore supergroup catharsis,"Thursday, Circa Survive",Rock & Alternative
Owen Pallett,Paramount Theatre,2025-05-01,🎻,Orchestral indie-pop with baroque brilliance,"Andrew Bird, Sufjan Stevens",Pop & Indie Pop
Squirrel Nut Zippers,TBD,2025-05-02,🎷,Swing revival with Southern gothic flair,"Big Bad Voodoo Daddy, Tom Waits","Funk, Soul & Jazz"
Tigers Jaw,Red Rocks Amphitheatre,2025-05-02,🌪️,Emo-pop that wears its heart on a thrifted flannel,"Joyce Manor, The Get Up Kids",Rock & Alternative
Turnover,Red Rocks Amphitheatre,2025-05-02,🌴,Washed-out dream-pop with emo roots,"DIIV, Wild Nothing",Pop & Indie Pop
Deerhoof,Bluebird Theater,2025-05-02,🍒,"Art-rock with skronk, whimsy, and full-body freak-outs","Dirty Projectors, Xiu Xiu",Electronic & Experimental
Amtrac,Club Vinyl,2025-05-02,🌌,Slick house grooves with melodic edges,"Tycho, Bonobo",Electronic & Experimental
Jason Isbell,Red Rocks Amphitheatre,2025-05-03,🎸,Poetic Southern folk-rock from a modern master,"Drive-By Truckers, Chris Stapleton","Folk, Country & Americana"
Squirrel Nut Zippers,TBD,2025-05-03,🎪,Swing revival with Southern gothic flair,"Big Bad Voodoo Daddy, Tom Waits","Funk, Soul & Jazz"
Ebo Taylor,Cervantes' Masterpiece Ballroom & Other Side,2025-05-04,🌍,Afrobeat legend with highlife grooves,"Fela Kuti, Tony Allen","Funk, Soul & Jazz"
Hunny,Summit Music Hall,2025-05-07,💘,Bubbly indie pop-rock with emo glitter,"The 1975, Hippo Campus",Pop & Indie Pop
Nick Cave & The Bad Seeds,Mission Ballroom,2025-05-07,🕯️,"Dark, romantic, and unrelentingly dramatic","Leonard Cohen, Swans",Rock & Alternative
Jack White,Mission Ballroom,2025-05-08,🎤,Bluesy garage-rock force of nature,"The White Stripes, The Raconteurs",Rock & Alternative
Seun Kuti & Egypt 80,Fort Collins Armory,2025-05-09,🔥,"Fierce, funky Afrobeat from Fela’s son","Fela Kuti, Antibalas","Funk, Soul & Jazz"
Jack White,Mission Ballroom,2025-05-09,🎸,Bluesy garage-rock force of nature,"The White Stripes, The Raconteurs",Rock & Alternative
Miya Folick,Bluebird Theater,2025-05-11,🌺,"Tender, explosive alt-pop","Sharon Van Etten, Mitski",Pop & Indie Pop
The Menzingers,Mission Ballroom,2025-05-11,🍻,"Scrappy, heartfelt punk anthems","Hot Water Music, The Gaslight Anthem",Rock & Alternative
Lucero,Mission Ballroom,2025-05-11,🚛,Gritty Southern rock with country twang,"Drive-By Truckers, Social Distortion",Rock & Alternative
Queen of Jeans,Mission Ballroom,2025-05-11,👑,"Dreamy, harmony-laced indie rock","Alvvays, Best Coast",Pop & Indie Pop
Seun Kuti & Egypt 80,Cervantes' Masterpiece Ballroom & Other Side,2025-05-11,🌞,"Fierce, funky Afrobeat from Fela’s son","Fela Kuti, Antibalas","Funk, Soul & Jazz"
Lucy Dacus,Red Rocks Amphitheatre,2025-05-12,📚,"Wistful, literate indie rock","Phoebe Bridgers, Big Thief",Pop & Indie Pop
Allison Russell,Gothic Theatre,2025-05-12,🪶,Soulful Americana with poetic fire,"Rhiannon Giddens, Brandi Carlile","Folk, Country & Americana"
Kara Jackson,Gothic Theatre,2025-05-12,📝,Spoken-word-leaning folk with raw edges,"Adrianne Lenker, Patti Smith","Folk, Country & Americana"
Jane Remover,Bluebird Theater,2025-05-12,🧃,Internet-core emo-pop daydreams,"quinn, midwxst",Pop & Indie Pop
Sharon Van Etten,Ogden Theatre,2025-05-12,💔,"Cinematic, emotionally resonant indie rock","Angel Olsen, Julien Baker",Pop & Indie Pop
Magdalena Bay,Ogden Theatre,2025-05-13,🪩,"Hyper-modern, shimmery synth-pop","Caroline Polachek, Charli XCX",Pop & Indie Pop
Lambrini Girls,Larimer Lounge,2025-05-13,💅,Feral UK punk with glitter and rage,"Amyl & The Sniffers, Dream Wife",Rock & Alternative
Julien Baker,Red Rocks Amphitheatre,2025-05-14,🌒,"Spare, soaring songs of reckoning","Sharon Van Etten, Phoebe Bridgers",Pop & Indie Pop
Rilo Kiley,Red Rocks Amphitheatre,2025-05-14,🎠,Beloved indie rock reunion,"Jenny Lewis, The Postal Service",Pop & Indie Pop
Being Dead,Denver,2025-05-14,👽,"Bizarre, funhouse surf-punk","Deerhoof, The B-52s",Rock & Alternative
Beach House,Mission Ballroom,2025-05-14,🌊,Dream-pop royalty with celestial vibes,"Mazzy Star, Cocteau Twins",Pop & Indie Pop
Youth Lagoon,Marquis Theater,2025-05-15,🌫️,Ethereal and fractured indie psych,"Perfume Genius, Mount Eerie",Pop & Indie Pop
George Clanton,Oriental Theater,2025-05-15,📼,Vaporwave-influenced synth-pop,"Washed Out, Negative Gemini",Electronic & Experimental
Been Stellar,Globe Hall,2025-05-15,📢,Gritty NYC post-punk revival,"Fontaines D.C., Interpol",Rock & Alternative
SASAMI,Larimer Lounge,2025-05-15,⚔️,"Fuzzy, heavy indie-rock catharsis","St. Vincent, Japanese Breakfast",Rock & Alternative
The Black Angels,Gothic Theatre,2025-05-16,🕶️,Psychedelic rock with droning intensity,"The Brian Jonestown Massacre, L.A. WITCH",Rock & Alternative
Kassie Krut,Fillmore Auditorium,2025-05-16,🌸,Ethereal experimental pop,"FKA twigs, Björk",Electronic & Experimental
Panda Bear,Fillmore Auditorium,2025-05-16,🐼,"Lush, sample-heavy psych-pop","Animal Collective, Ariel Pink",Electronic & Experimental
St. Vincent,Mission Ballroom,2025-05-16,🎸,Art-rock genius with glam and grit,"David Bowie, Annie Lennox",Pop & Indie Pop
Nils Frahm,Paramount,2025-05-16,🎹,Minimalist piano and ambient wizardry,"Ólafur Arnalds, Max Richter",Classical & Orchestral
Toro y Moi,Fillmore Auditorium,2025-05-16,🧃,Groovy synth-pop with a chillwave heart,"Neon Indian, Washed Out",Electronic & Experimental
Momma,Marquis Theater,2025-05-17,🎧,Grungy indie with harmonized melancholy,"Veruca Salt, Snail Mail",Rock & Alternative
SPELLLING,Bluebird Theater,2025-05-17,🔮,Otherworldly experimental pop spells,"Kate Bush, Eartheater",Electronic & Experimental
Wishy,Marquis Theater,2025-05-17,🧞,Reverb-drenched indie shimmer,"Alvvays, Hazel English",Pop & Indie Pop
Friko,Marquis Theater,2025-05-18,🎭,Emotional indie rock with flair,"Palace, Bon Iver",Pop & Indie Pop
Beach Bunny,Summit Music Hall,2025-05-18,🏖️,"Bouncy, emotional pop-punk","CHAI, Charly Bliss",Pop & Indie Pop
Chromeo,TBD,2025-05-18,🕺,Glossy electro-funk throwback,"Justice, Daft Punk",Electronic & Experimental
The Lemon Twigs,Fox Theatre,2025-05-18,🍋,"Theatrical, retro-obsessed rock","Harry Nilsson, Sparks",Rock & Alternative
The Lemon Twigs,Black Sheep,2025-05-19,📺,"Theatrical, retro-obsessed rock","Harry Nilsson, Sparks",Rock & Alternative
Cheekface,Bluebird Theater,2025-05-19,😶‍🌫️,Speak-sung indie with neurotic charm,"Courtney Barnett, Jeffrey Lewis",Rock & Alternative
Leon Bridges,Ford Amphitheater,2025-05-22,🕴️,Retro-soul crooner with serious style,"Sam Cooke, Anderson .Paak","Funk, Soul & Jazz"
Allegra Krieger,Meow Wolf Denver | Convergence Station,2025-05-23,🌿,"Intimate, poetic indie-folk","Joanna Newsom, Adrianne Lenker","Folk, Country & Americana"
Leon Bridges,Red Rocks Amphitheatre,2025-05-23,🎷,Retro-soul crooner with serious style,"Sam Cooke, Anderson .Paak","Funk, Soul & Jazz"
Rusko,Cervantes' Masterpiece Ballroom & Other Side,2025-05-23,⚡,OG dubstep rager,"Skrillex, Bassnectar",Electronic & Experimental
Hermanos Gutierrez,Ford Amphitheater,2025-05-25,🎸,Reverb-soaked instrumental desert blues,"Khruangbin, Calexico","Folk, Country & Americana"
Horse Jumper of Love,Hi-Dive,2025-05-25,🌫️,Slowcore confessional rock,"Duster, Alex G",Rock & Alternative
Leon Bridges,TBD,2025-05-25,🧡,Retro-soul crooner with serious style,"Sam Cooke, Anderson .Paak","Funk, Soul & Jazz"
Justice,Red Rocks Amphitheatre,2025-05-25,⚖️,French electro with arena-sized swagger,"Daft Punk, Chromeo",Electronic & Experimental
Hermanos Gutierrez,Red Rocks Amphitheatre,2025-05-27,🌵,Reverb-soaked instrumental desert blues,"Khruangbin, Calexico","Folk, Country & Americana"
Molly Lewis (Whistler),Red Rocks Amphitheatre,2025-05-28,🦜,Retro-cinematic whistling as high art,"Ennio Morricone, The Caretaker",Classical & Orchestral
Molly Lewis (Whistler),Red Rocks Amphitheatre,2025-05-29,🎐,Retro-cinematic whistling as high art,"Ennio Morricone, The Caretaker",Classical & Orchestral
Ryan Adams,Paramount Theatre,2025-05-30,🎞️,Alt-country iconoclast,"Wilco, Jeff Buckley","Folk, Country & Americana"
Husbands,Outside Festival,2025-05-31,👬,Sunny indie pop with psych tinges,"Real Estate, Best Coast",Pop & Indie Pop
Khruangbin,Outside Festival 2025,2025-05-31,🛸,Global psych-funk with deep grooves,"Hermanos Gutierrez, Unknown Mortal Orchestra","Funk, Soul & Jazz"
Lucy Dacus,Red Rocks Amphitheatre,2025-05-12,📚,"Wistful, literate indie rock","Phoebe Bridgers, Big Thief",Pop & Indie Pop
Allison Russell,Gothic Theatre,2025-05-12,🪶,Soulful Americana with poetic fire,"Rhiannon Giddens, Brandi Carlile","Folk, Country & Americana"
Kara Jackson,Gothic Theatre,2025-05-12,📝,Spoken-word-leaning folk with raw edges,"Adrianne Lenker, Patti Smith","Folk, Country & Americana"
Jane Remover,Bluebird Theater,2025-05-12,🧃,Internet-core emo-pop daydreams,"quinn, midwxst",Pop & Indie Pop
Sharon Van Etten,Ogden Theatre,2025-05-12,💔,"Cinematic, emotionally resonant indie rock","Angel Olsen, Julien Baker",Pop & Indie Pop
Magdalena Bay,Ogden Theatre,2025-05-13,🪩,"Hyper-modern, shimmery synth-pop","Caroline Polachek, Charli XCX",Pop & Indie Pop
Lambrini Girls,Larimer Lounge,2025-05-13,💅,Feral UK punk with glitter and rage,"Amyl & The Sniffers, Dream Wife",Rock & Alternative
Julien Baker,Red Rocks Amphitheatre,2025-05-14,🌒,"Spare, soaring songs of reckoning","Sharon Van Etten, Phoebe Bridgers",Pop & Indie Pop
Rilo Kiley,Red Rocks Amphitheatre,2025-05-14,🎠,Beloved indie rock reunion,"Jenny Lewis, The Postal Service",Pop & Indie Pop
Being Dead,Denver,2025-05-14,👽,"Bizarre, funhouse surf-punk","Deerhoof, The B-52s",Rock & Alternative
Beach House,Mission Ballroom,2025-05-14,🌊,Dream-pop royalty with celestial vibes,"Mazzy Star, Cocteau Twins",Pop & Indie Pop
Youth Lagoon,Marquis Theater,2025-05-15,🌫️,Ethereal and fractured indie psych,"Perfume Genius, Mount Eerie",Pop & Indie Pop
George Clanton,Oriental Theater,2025-05-15,📼,Vaporwave-influenced synth-pop,"Washed Out, Negative Gemini",Electronic & Experimental
Been Stellar,Globe Hall,2025-05-15,📢,Gritty NYC post-punk revival,"Fontaines D.C., Interpol",Rock & Alternative
SASAMI,Larimer Lounge,2025-05-15,⚔️,"Fuzzy, heavy indie-rock catharsis","St. Vincent, Japanese Breakfast",Rock & Alternative
The Black Angels,Gothic Theatre,2025-05-16,🕶️,Psychedelic rock with droning intensity,"The Brian Jonestown Massacre, L.A. WITCH",Rock & Alternative
Kassie Krut,Fillmore Auditorium,2025-05-16,🌸,Ethereal experimental pop,"FKA twigs, Björk",Electronic & Experimental
Panda Bear,Fillmore Auditorium,2025-05-16,🐼,"Lush, sample-heavy psych-pop","Animal Collective, Ariel Pink",Electronic & Experimental
St. Vincent,Mission Ballroom,2025-05-16,🎸,Art-rock genius with glam and grit,"David Bowie, Annie Lennox",Pop & Indie Pop
Nils Frahm,Paramount,2025-05-16,🎹,Minimalist piano and ambient wizardry,"Ólafur Arnalds, Max Richter",Classical & Orchestral
Toro y Moi,Fillmore Auditorium,2025-05-16,🧃,Groovy synth-pop with a chillwave heart,"Neon Indian, Washed Out",Electronic & Experimental
Momma,Marquis Theater,2025-05-17,🎧,Grungy indie with harmonized melancholy,"Veruca Salt, Snail Mail",Rock & Alternative
SPELLLING,Bluebird Theater,2025-05-17,🔮,Otherworldly experimental pop spells,"Kate Bush, Eartheater",Electronic & Experimental
Wishy,Marquis Theater,2025-05-17,🧞,Reverb-drenched indie shimmer,"Alvvays, Hazel English",Pop & Indie Pop
Friko,Marquis Theater,2025-05-18,🎭,Emotional indie rock with flair,"Palace, Bon Iver",Pop & Indie Pop
Beach Bunny,Summit Music Hall,2025-05-18,🏖️,"Bouncy, emotional pop-punk","CHAI, Charly Bliss",Pop & Indie Pop
Chromeo,TBD,2025-05-18,🕺,Glossy electro-funk throwback,"Justice, Daft Punk",Electronic & Experimental
The Lemon Twigs,Fox Theatre,2025-05-18,🍋,"Theatrical, retro-obsessed rock","Harry Nilsson, Sparks",Rock & Alternative
The Lemon Twigs,Black Sheep,2025-05-19,📺,"Theatrical, retro-obsessed rock","Harry Nilsson, Sparks",Rock & Alternative
Cheekface,Bluebird Theater,2025-05-19,😶‍🌫️,Speak-sung indie with neurotic charm,"Courtney Barnett, Jeffrey Lewis",Rock & Alternative
Leon Bridges,Ford Amphitheater,2025-05-22,🕴️,Retro-soul crooner with serious style,"Sam Cooke, Anderson .Paak","Funk, Soul & Jazz"
Allegra Krieger,Meow Wolf Denver | Convergence Station,2025-05-23,🌿,"Intimate, poetic indie-folk","Joanna Newsom, Adrianne Lenker","Folk, Country & Americana"
Leon Bridges,Red Rocks Amphitheatre,2025-05-23,🎷,Retro-soul crooner with serious style,"Sam Cooke, Anderson .Paak","Funk, Soul & Jazz"
Rusko,Cervantes' Masterpiece Ballroom & Other Side,2025-05-23,⚡,OG dubstep rager,"Skrillex, Bassnectar",Electronic & Experimental
Hermanos Gutierrez,Ford Amphitheater,2025-05-25,🎸,Reverb-soaked instrumental desert blues,"Khruangbin, Calexico","Folk, Country & Americana"
Horse Jumper of Love,Hi-Dive,2025-05-25,🌫️,Slowcore confessional rock,"Duster, Alex G",Rock & Alternative
Leon Bridges,TBD,2025-05-25,🧡,Retro-soul crooner with serious style,"Sam Cooke, Anderson .Paak","Funk, Soul & Jazz"
Justice,Red Rocks Amphitheatre,2025-05-25,⚖️,French electro with arena-sized swagger,"Daft Punk, Chromeo",Electronic & Experimental
Hermanos Gutierrez,Red Rocks Amphitheatre,2025-05-27,🌵,Reverb-soaked instrumental desert blues,"Khruangbin, Calexico","Folk, Country & Americana"
Molly Lewis (Whistler),Red Rocks Amphitheatre,2025-05-28,🦜,Retro-cinematic whistling as high art,"Ennio Morricone, The Caretaker",Classical & Orchestral
Molly Lewis (Whistler),Red Rocks Amphitheatre,2025-05-29,🎐,Retro-cinematic whistling as high art,"Ennio Morricone, The Caretaker",Classical & Orchestral
Ryan Adams,Paramount Theatre,2025-05-30,🎞️,Alt-country iconoclast,"Wilco, Jeff Buckley","Folk, Country & Americana"
Husbands,Outside Festival,2025-05-31,👬,Sunny indie pop with psych tinges,"Real Estate, Best Coast",Pop & Indie Pop
Khruangbin,Outside Festival 2025,2025-05-31,🛸,Global psych-funk with deep grooves,"Hermanos Gutierrez, Unknown Mortal Orchestra","Funk, Soul & Jazz"
